,test_percentage,folds,softmax_reg_l1,softmax_reg_l2,softmax_reg_elastic,reg_l1_withoutSepalWidth,reg_l2_withoutSepalWidth,reg_elastic_withoutSepalWidth
10,0.3,3,"LogisticRegression(C=20.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=30.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=13.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=46.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=13.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
11,0.3,4,"LogisticRegression(C=24.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=24.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=7.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=19.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=7.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
12,0.3,5,"LogisticRegression(C=22.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=22.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=6.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=16.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=6.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
13,0.3,6,"LogisticRegression(C=19.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=19.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=7.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=16.0, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=7.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
14,0.3,7,"LogisticRegression(C=21.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=20.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=6.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=17.0, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=6.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
15,0.3,8,"LogisticRegression(C=24.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=23.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=7.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=17.0, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=7.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
16,0.3,9,"LogisticRegression(C=25.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=23.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=7.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=17.0, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=7.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
17,0.3,10,"LogisticRegression(C=9.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=9.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=7.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=17.0, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=7.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
18,0.4,2,"LogisticRegression(C=6.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=39.0, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=6.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=7.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=30.0, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=8.0, l1_ratio=0.9, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
19,0.4,3,"LogisticRegression(C=10.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=10.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=9.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=37.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=9.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
